constructor_id,name,nationality,url
adams,Adams,American,https://en.wikipedia.org/wiki/Adams_(constructor)
afm,AFM,German,https://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau
ags,AGS,French,https://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives
alfa,Alfa Romeo,Swiss,https://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
alphatauri,AlphaTauri,Italian,https://en.wikipedia.org/wiki/Scuderia_AlphaTauri
alpine,Alpine F1 Team,French,https://en.wikipedia.org/wiki/Alpine_F1_Team
alta,Alta,British,https://en.wikipedia.org/wiki/Alta_Car_and_Engineering_Company
amon,Amon,New Zealander,https://en.wikipedia.org/wiki/Chris_Amon_Racing
apollon,Apollon,Swiss,https://en.wikipedia.org/wiki/Apollon_(Formula_One)
arrows,Arrows,British,https://en.wikipedia.org/wiki/Arrows_Grand_Prix_International
arzani-volpini,Arzani-Volpini,Italian,https://en.wikipedia.org/wiki/Arzani-Volpini
aston_martin,Aston Martin,British,https://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One
ats,ATS,Italian,https://en.wikipedia.org/wiki/ATS_Wheels
audi,Audi,German,https://en.wikipedia.org/wiki/Audi_in_Formula_One
bar,BAR,British,https://en.wikipedia.org/wiki/British_American_Racing
behra-porsche,Behra-Porsche,Italian,https://en.wikipedia.org/wiki/Behra-Porsche
bellasi,Bellasi,Swiss,https://en.wikipedia.org/wiki/Bellasi
benetton,Benetton,Italian,https://en.wikipedia.org/wiki/Benetton_Formula
bmw,BMW,German,https://en.wikipedia.org/wiki/BMW
bmw_sauber,BMW Sauber,German,https://en.wikipedia.org/wiki/BMW_in_Formula_One
boro,Boro,Dutch,https://en.wikipedia.org/wiki/Boro_(Formula_One)
brabham,Brabham,British,https://en.wikipedia.org/wiki/Brabham
brabham-alfa_romeo,Brabham-Alfa Romeo,British,https://en.wikipedia.org/wiki/Brabham
brabham-brm,Brabham-BRM,British,https://en.wikipedia.org/wiki/Brabham
brabham-climax,Brabham-Climax,British,https://en.wikipedia.org/wiki/Brabham
brabham-ford,Brabham-Ford,British,https://en.wikipedia.org/wiki/Brabham
brabham-repco,Brabham-Repco,British,https://en.wikipedia.org/wiki/Brabham
brawn,Brawn,British,https://en.wikipedia.org/wiki/Brawn_GP
brm,BRM,British,https://en.wikipedia.org/wiki/British_Racing_Motors
brm-ford,BRM-Ford,British,https://en.wikipedia.org/wiki/British_Racing_Motors
bromme,Bromme,American,https://en.wikipedia.org/wiki/Bromme
brp,BRP,British,https://en.wikipedia.org/wiki/British_Racing_Partnership
bugatti,Bugatti,French,https://en.wikipedia.org/wiki/Bugatti
butterworth,Aston Butterworth,British,https://en.wikipedia.org/wiki/Aston_Butterworth
cadillac,Cadillac F1 Team,American,https://en.wikipedia.org/wiki/Cadillac_in_Formula_One
caterham,Caterham,Malaysian,https://en.wikipedia.org/wiki/Caterham_F1
cisitalia,Cisitalia,Italian,https://en.wikipedia.org/wiki/Cisitalia
coloni,Coloni,Italian,https://en.wikipedia.org/wiki/Scuderia_Coloni
connaught,Connaught,British,https://en.wikipedia.org/wiki/Connaught_Engineering
connew,Connew,British,https://en.wikipedia.org/wiki/Connew
cooper,Cooper,British,https://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-alfa_romeo,Cooper-Alfa Romeo,British,https://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-ats,Cooper-ATS,British,https://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-borgward,Cooper-Borgward,British,https://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-brm,Cooper-BRM,British,https://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-castellotti,Cooper-Castellotti,British,https://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-climax,Cooper-Climax,British,https://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-ferrari,Cooper-Ferrari,British,https://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-ford,Cooper-Ford,British,https://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-maserati,Cooper-Maserati,British,https://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-osca,Cooper-OSCA,British,https://en.wikipedia.org/wiki/Cooper_Car_Company
dallara,Dallara,Italian,https://en.wikipedia.org/wiki/Dallara
