season,round,race_name,circuit_id,date,time,url
1950,1,British Grand Prix,silverstone,1950-05-13,,https://en.wikipedia.org/wiki/1950_British_Grand_Prix
1950,2,Monaco Grand Prix,monaco,1950-05-21,,https://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
1950,3,Indianapolis 500,indianapolis,1950-05-30,,https://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,4,Swiss Grand Prix,bremgarten,1950-06-04,,https://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
1950,5,Belgian Grand Prix,spa,1950-06-18,,https://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
1950,6,French Grand Prix,reims,1950-07-02,,https://en.wikipedia.org/wiki/1950_French_Grand_Prix
1950,7,Italian Grand Prix,monza,1950-09-03,,https://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1951,1,Swiss Grand Prix,bremgarten,1951-05-27,,https://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
1951,2,Indianapolis 500,indianapolis,1951-05-30,,https://en.wikipedia.org/wiki/1951_Indianapolis_500
1951,3,Belgian Grand Prix,spa,1951-06-17,,https://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix
1951,4,French Grand Prix,reims,1951-07-01,,https://en.wikipedia.org/wiki/1951_French_Grand_Prix
1951,5,British Grand Prix,silverstone,1951-07-14,,https://en.wikipedia.org/wiki/1951_British_Grand_Prix
1951,6,German Grand Prix,nurburgring,1951-07-29,,https://en.wikipedia.org/wiki/1951_German_Grand_Prix
1951,7,Italian Grand Prix,monza,1951-09-16,,https://en.wikipedia.org/wiki/1951_Italian_Grand_Prix
1951,8,Spanish Grand Prix,pedralbes,1951-10-28,,https://en.wikipedia.org/wiki/1951_Spanish_Grand_Prix
1952,1,Swiss Grand Prix,bremgarten,1952-05-18,,https://en.wikipedia.org/wiki/1952_Swiss_Grand_Prix
1952,2,Indianapolis 500,indianapolis,1952-05-30,,https://en.wikipedia.org/wiki/1952_Indianapolis_500
1952,3,Belgian Grand Prix,spa,1952-06-22,,https://en.wikipedia.org/wiki/1952_Belgian_Grand_Prix
1952,4,French Grand Prix,essarts,1952-07-06,,https://en.wikipedia.org/wiki/1952_French_Grand_Prix
1952,5,British Grand Prix,silverstone,1952-07-19,,https://en.wikipedia.org/wiki/1952_British_Grand_Prix
1952,6,German Grand Prix,nurburgring,1952-08-03,,https://en.wikipedia.org/wiki/1952_German_Grand_Prix
1952,7,Dutch Grand Prix,zandvoort,1952-08-17,,https://en.wikipedia.org/wiki/1952_Dutch_Grand_Prix
1952,8,Italian Grand Prix,monza,1952-09-07,,https://en.wikipedia.org/wiki/1952_Italian_Grand_Prix
1953,1,Argentine Grand Prix,galvez,1953-01-18,,https://en.wikipedia.org/wiki/1953_Argentine_Grand_Prix
1953,2,Indianapolis 500,indianapolis,1953-05-30,,https://en.wikipedia.org/wiki/1953_Indianapolis_500
1953,3,Dutch Grand Prix,zandvoort,1953-06-07,,https://en.wikipedia.org/wiki/1953_Dutch_Grand_Prix
1953,4,Belgian Grand Prix,spa,1953-06-21,,https://en.wikipedia.org/wiki/1953_Belgian_Grand_Prix
1953,5,French Grand Prix,reims,1953-07-05,,https://en.wikipedia.org/wiki/1953_French_Grand_Prix
1953,6,British Grand Prix,silverstone,1953-07-18,,https://en.wikipedia.org/wiki/1953_British_Grand_Prix
1953,7,German Grand Prix,nurburgring,1953-08-02,,https://en.wikipedia.org/wiki/1953_German_Grand_Prix
1953,8,Swiss Grand Prix,bremgarten,1953-08-23,,https://en.wikipedia.org/wiki/1953_Swiss_Grand_Prix
1953,9,Italian Grand Prix,monza,1953-09-13,,https://en.wikipedia.org/wiki/1953_Italian_Grand_Prix
1954,1,Argentine Grand Prix,galvez,1954-01-17,,https://en.wikipedia.org/wiki/1954_Argentine_Grand_Prix
1954,2,Indianapolis 500,indianapolis,1954-05-31,,https://en.wikipedia.org/wiki/1954_Indianapolis_500
1954,3,Belgian Grand Prix,spa,1954-06-20,,https://en.wikipedia.org/wiki/1954_Belgian_Grand_Prix
1954,4,French Grand Prix,reims,1954-07-04,,https://en.wikipedia.org/wiki/1954_French_Grand_Prix
1954,5,British Grand Prix,silverstone,1954-07-17,,https://en.wikipedia.org/wiki/1954_British_Grand_Prix
1954,6,German Grand Prix,nurburgring,1954-08-01,,https://en.wikipedia.org/wiki/1954_German_Grand_Prix
1954,7,Swiss Grand Prix,bremgarten,1954-08-22,,https://en.wikipedia.org/wiki/1954_Swiss_Grand_Prix
1954,8,Italian Grand Prix,monza,1954-09-05,,https://en.wikipedia.org/wiki/1954_Italian_Grand_Prix
1954,9,Spanish Grand Prix,pedralbes,1954-10-24,,https://en.wikipedia.org/wiki/1954_Spanish_Grand_Prix
1955,1,Argentine Grand Prix,galvez,1955-01-16,,https://en.wikipedia.org/wiki/1955_Argentine_Grand_Prix
1955,2,Monaco Grand Prix,monaco,1955-05-22,,https://en.wikipedia.org/wiki/1955_Monaco_Grand_Prix
1955,3,Indianapolis 500,indianapolis,1955-05-30,,https://en.wikipedia.org/wiki/1955_Indianapolis_500
1955,4,Belgian Grand Prix,spa,1955-06-05,,https://en.wikipedia.org/wiki/1955_Belgian_Grand_Prix
1955,5,Dutch Grand Prix,zandvoort,1955-06-19,,https://en.wikipedia.org/wiki/1955_Dutch_Grand_Prix
1955,6,British Grand Prix,aintree,1955-07-16,,https://en.wikipedia.org/wiki/1955_British_Grand_Prix
1955,7,Italian Grand Prix,monza,1955-09-11,,https://en.wikipedia.org/wiki/1955_Italian_Grand_Prix
1956,1,Argentine Grand Prix,galvez,1956-01-22,,https://en.wikipedia.org/wiki/1956_Argentine_Grand_Prix
1956,2,Monaco Grand Prix,monaco,1956-05-13,,https://en.wikipedia.org/wiki/1956_Monaco_Grand_Prix
1956,3,Indianapolis 500,indianapolis,1956-05-30,,https://en.wikipedia.org/wiki/1956_Indianapolis_500
1956,4,Belgian Grand Prix,spa,1956-06-03,,https://en.wikipedia.org/wiki/1956_Belgian_Grand_Prix
1956,5,French Grand Prix,reims,1956-07-01,,https://en.wikipedia.org/wiki/1956_French_Grand_Prix
1956,6,British Grand Prix,silverstone,1956-07-14,,https://en.wikipedia.org/wiki/1956_British_Grand_Prix
1956,7,German Grand Prix,nurburgring,1956-08-05,,https://en.wikipedia.org/wiki/1956_German_Grand_Prix
1956,8,Italian Grand Prix,monza,1956-09-02,,https://en.wikipedia.org/wiki/1956_Italian_Grand_Prix
1957,1,Argentine Grand Prix,galvez,1957-01-13,,https://en.wikipedia.org/wiki/1957_Argentine_Grand_Prix
1957,2,Monaco Grand Prix,monaco,1957-05-19,,https://en.wikipedia.org/wiki/1957_Monaco_Grand_Prix
1957,3,Indianapolis 500,indianapolis,1957-05-30,,https://en.wikipedia.org/wiki/1957_Indianapolis_500
1957,4,French Grand Prix,essarts,1957-07-07,,https://en.wikipedia.org/wiki/1957_French_Grand_Prix
1957,5,British Grand Prix,aintree,1957-07-20,,https://en.wikipedia.org/wiki/1957_British_Grand_Prix
1957,6,German Grand Prix,nurburgring,1957-08-04,,https://en.wikipedia.org/wiki/1957_German_Grand_Prix
1957,7,Pescara Grand Prix,pescara,1957-08-18,,https://en.wikipedia.org/wiki/1957_Pescara_Grand_Prix
1957,8,Italian Grand Prix,monza,1957-09-08,,https://en.wikipedia.org/wiki/1957_Italian_Grand_Prix
1958,1,Argentine Grand Prix,galvez,1958-01-19,,https://en.wikipedia.org/wiki/1958_Argentine_Grand_Prix
1958,2,Monaco Grand Prix,monaco,1958-05-18,,https://en.wikipedia.org/wiki/1958_Monaco_Grand_Prix
1958,3,Dutch Grand Prix,zandvoort,1958-05-26,,https://en.wikipedia.org/wiki/1958_Dutch_Grand_Prix
1958,4,Indianapolis 500,indianapolis,1958-05-30,,https://en.wikipedia.org/wiki/1958_Indianapolis_500
1958,5,Belgian Grand Prix,spa,1958-06-15,,https://en.wikipedia.org/wiki/1958_Belgian_Grand_Prix
